year,state_code,State,gov_id,pres_id,incoordination_score,mayoral_assassinations,inequality,poverty,illiterate,population,dto_homicides,criminals_convicted,police_interventions,thefts,,,,,,,,,
2014,1,Aguascalientes,PRI,PRI,4,0,0.486,34.8,3.26,1184996,8,1685,82034,10,,,,,,,,,
2014,2,Baja California,PAN,PRI,5,0,0.434,28.6,2.57,3155070,193,13999,386140,94,,,,,,,,,
2014,3,Baja California Sur,PAN,PRI,5,0,0.454,30.3,3.21,637026,42,1966,27337,0,,,,,,,,,
2014,4,Campeche,PRI,PRI,4,0,0.5,43.6,8.31,822441,7,896,38142,0,,,,,,,,,
2014,5,Coahuila de Zaragoza,PRI,PRI,4,0,0.503,30.2,2.63,2748391,196,1937,17894,55,,,,,,,,,
2014,6,Colima,PRI,PRI,4,0,0.457,34.4,5.13,650555,24,1428,27599,0,,,,,,,,,
2014,7,Chiapas,PVEM,PRI,7,0,0.517,76.2,17.80,4796580,30,4322,79926,5,,,,,,,,,
2014,8,Chihuahua,PRI,PRI,4,0,0.458,34.3,3.66,3407465,"1,143",2987,208339,69,,,,,,,,,
2014,9,Distrito Federal,PRD,PRI,6,0,0.507,28.4,2.09,8851080,232,21076,,2,,,,,,,,,
2014,10,Durango,PRI,PRI,4,1,0.446,43.5,3.82,1632934,120,1048,37867,45,,,,,,,,,
2014,11,Guanajuato,PAN,PRI,5,0,0.449,46.6,8.18,5486372,180,5985,164331,411,,,,,,,,,
2014,12,Guerrero,PRD,PRI,6,2,0.489,65.2,16.68,3388768,"1,075",3069,26093,0,,,,,,,,,
2014,13,Hidalgo,PRI,PRI,4,1,0.504,54.3,10.23,2665018,52,3061,43737,146,,,,,,,,,
2014,14,Jalisco,PRI,PRI,4,3,0.468,35.4,4.36,7350682,518,13071,195947,309,,,,,,,,,
2014,15,México,PRI,PRI,4,1,0.461,49.6,4.38,15175862,623,9071,331691,263,,,,,,,,,
2014,16,Michoacán de Ocampo,PRI,PRI,4,1,0.452,59.3,10.18,4351037,594,3617,52374,28,,,,,,,,,
2014,17,Morelos,PRD,PRI,6,0,0.467,52.3,6.42,1777227,249,1199,60233,0,,,,,,,,,
2014,18,Nayarit,PRI,PRI,4,0,0.471,40.5,6.31,1084979,4,2288,30693,0,,,,,,,,,
2014,19,Nuevo León,PRI,PRI,4,1,0.453,20.4,2.20,4653458,168,4981,275119,139,,,,,,,,,
2014,20,Oaxaca,PAN,PRI,5,4,0.513,66.8,16.27,3801962,222,2904,70932,85,,,,,,,,,
2014,21,Puebla,PAN,PRI,5,0,0.572,64.5,10.38,5779829,88,4588,104273,336,,,,,,,,,
2014,22,Querétaro,PRI,PRI,4,0,0.488,34.2,6.31,1827937,16,3087,45468,37,,,,,,,,,
2014,23,Quintana Roo,PRI,PRI,4,0,0.494,35.9,4.77,1325578,20,2003,76400,0,,,,,,,,,
2014,24,San Luis Potosí,PRI,PRI,4,0,0.477,49.1,7.91,2585518,69,2410,59229,13,,,,,,,,,
2014,25,Sinaloa,PAN,PRI,5,0,0.486,39.4,4.97,2767761,747,5369,227625,283,,,,,,,,,
2014,26,Sonora,PAN,PRI,5,0,0.476,29.4,3.04,2662480,445,10141,522276,39,,,,,,,,,
2014,27,Tabasco,PRD,PRI,6,0,0.476,49.6,7.06,2238603,29,2187,29943,275,,,,,,,,,
2014,28,Tamaulipas,PRI,PRI,4,1,0.478,37.9,3.61,3268554,356,4670,0,685,,,,,,,,,
2014,29,Tlaxcala,PRI,PRI,4,0,0.411,58.9,5.19,1169936,6,978,21282,24,,,,,,,,,
2014,30,Veracruz de Ignacio de la Llave,PRI,PRI,4,3,0.49,58,11.44,7643194,473,4951,69060,229,,,,,,,,,
2014,31,Yucatán,PRI,PRI,4,0,0.511,45.9,9.23,1955577,3,1723,60914,0,,,,,,,,,
2014,32,Zacatecas,PRI,PRI,4,1,0.507,52.4,5.55,1490668,61,1265,58285,53,,,,,,,,,
2015,1,Aguascalientes,PRI,PRI,4,0,0.486,34.8,2.59,1312544,22,1685,82034,2,,,,,,,,,
2015,2,Baja California,PAN,PRI,5,0,0.434,28.6,1.95,3315766,354,13999,386140,142,,,,,,,,,
2015,3,Baja California Sur,PAN,PRI,5,0,0.454,30.3,2.49,712029,132,1966,27337,0,,,,,,,,,
2015,4,Campeche,PRI,PRI,4,0,0.5,43.6,6.65,899931,17,896,38142,0,,,,,,,,,
2015,5,Coahuila de Zaragoza,PRI,PRI,4,0,0.503,30.2,1.97,2954915,127,1937,17894,46,,,,,,,,,
2015,6,Colima,PRI,PRI,4,0,0.457,34.4,3.88,711235,55,1428,27599,0,,,,,,,,,
2015,7,Chiapas,PVEM,PRI,7,0,0.517,76.2,14.84,5217908,52,4322,79926,2,,,,,,,,,
2015,8,Chihuahua,PRI,PRI,4,1,0.458,34.3,2.65,3556574,966,2987,208339,36,,,,,,,,,
2015,9,Distrito Federal,PRI,PRI,4,0,0.507,28.4,1.48,8918653,197,21076,,13,,,,,,,,,
2015,10,Durango,PRD,PRI,6,0,0.446,43.5,3.15,1754754,112,1048,37867,33,,,,,,,,,
2015,11,Guanajuato,PAN,PRI,5,1,0.449,46.6,6.35,5853677,366,5985,164331,844,,,,,,,,,
2015,12,Guerrero,PRI,PRI,4,2,0.489,65.2,13.61,3533251,"1,464",3069,26093,0,,,,,,,,,
2015,13,Hidalgo,PRI,PRI,4,0,0.504,54.3,8.20,2858359,24,3061,43737,183,,,,,,,,,
2015,14,Jalisco,PRI,PRI,4,1,0.468,35.4,3.52,7844830,437,13071,195947,419,,,,,,,,,
2015,15,México,PRI,PRI,4,0,0.461,49.6,3.34,16187608,667,9071,331691,456,,,,,,,,,
2015,16,Michoacán de Ocampo,PRD,PRI,6,1,0.452,59.3,8.27,4584471,613,3617,52374,82,,,,,,,,,
2015,17,Morelos,PRD,PRI,6,0,0.467,52.3,4.96,1903811,230,1199,60233,20,,,,,,,,,
2015,18,Nayarit,PRI,PRI,4,0,0.471,40.5,5.04,1181050,9,2288,30693,0,,,,,,,,,
2015,19,Nuevo León,PRI,PRI,4,0,0.453,20.4,1.63,5119504,126,4981,275119,137,,,,,,,,,
2015,20,Oaxaca,PAN,PRI,5,4,0.513,66.8,13.53,3967889,319,2904,70932,135,,,,,,,,,
2015,21,Puebla,PAN,PRI,5,1,0.572,64.5,8.33,6168883,107,4588,104273,785,,,,,,,,,
2015,22,Querétaro,PRI,PRI,4,0,0.488,34.2,4.54,2038372,67,3087,45468,36,,,,,,,,,
2015,23,Quintana Roo,PRI,PRI,4,0,0.494,35.9,3.87,1501562,35,2003,76400,0,,,,,,,,,
2015,24,San Luis Potosí,PRI,PRI,4,1,0.477,49.1,6.28,2717820,69,2410,59229,22,,,,,,,,,
2015,25,Sinaloa,PAN,PRI,5,0,0.486,39.4,4.16,2966321,502,5369,227625,210,,,,,,,,,
2015,26,Sonora,PAN,PRI,5,0,0.476,29.4,2.18,2850330,179,10141,522276,30,,,,,,,,,
2015,27,Tabasco,PRD,PRI,6,1,0.476,49.6,5.36,2395272,126,2187,29943,336,,,,,,,,,
2015,28,Tamaulipas,PRI,PRI,4,1,0.478,37.9,3.00,3441698,239,4670,0,882,,,,,,,,,
2015,29,Tlaxcala,PRI,PRI,4,0,0.411,58.9,3.95,1272847,17,978,21282,58,,,,,,,,,
2015,30,Veracruz de Ignacio de la Llave,PRI,PRI,4,1,0.49,58,9.44,8112505,727,4951,69060,339,,,,,,,,,
2015,31,Yucatán,PRI,PRI,4,0,0.511,45.9,7.41,2097175,4,1723,60914,0,,,,,,,,,
2015,32,Zacatecas,PRI,PRI,4,0,0.507,52.4,4.39,1579209,62,1265,58285,4,,,,,,,,,
2016,1,Aguascalientes,PAN,PRI,5,0,0.486,28.2,2.59,1312544,43,1685,82034,0,,,,,,,,,
2016,2,Baja California,PAN,PRI,5,0,0.434,22.2,1.95,3315766,393,13999,386140,85,,,,,,,,,
2016,3,Baja California Sur,PAN,PRI,5,0,0.454,22.1,2.49,712029,133,1966,27337,0,,,,,,,,,
2016,4,Campeche,PRI,PRI,4,0,0.5,43.8,6.65,899931,13,896,38142,0,,,,,,,,,
2016,5,Coahuila de Zaragoza,PRI,PRI,4,0,0.503,24.8,1.97,2954915,100,1937,17894,50,,,,,,,,,
2016,6,Colima,PRI,PRI,4,0,0.457,33.6,3.88,711235,385,1428,27599,0,,,,,,,,,
2016,7,Chiapas,PVEM,PRI,7,1,0.517,77.1,14.84,5217908,66,4322,79926,4,,,,,,,,,
2016,8,Chihuahua,PRI,PRI,4,0,0.458,30.6,2.65,3556574,937,2987,208339,38,,,,,,,,,
2016,9,Distrito Federal,PRD,PRI,6,0,0.507,27.6,1.48,8918653,253,21076,,16,,,,,,,,,
2016,10,Durango,PRI,PRI,4,0,0.446,36.0,3.15,1754754,103,1048,37867,7,,,,,,,,,
2016,11,Guanajuato,PAN,PRI,5,0,0.449,42.4,6.35,5853677,810,5985,164331,1309,,,,,,,,,
2016,12,Guerrero,PRI,PRI,4,0,0.489,64.4,13.61,3533251,"1,832",3069,26093,0,,,,,,,,,
2016,13,Hidalgo,PRI,PRI,4,0,0.504,50.6,8.20,2858359,25,3061,43737,344,,,,,,,,,
2016,14,Jalisco,PRI,PRI,4,0,0.468,31.8,3.52,7844830,351,13071,195947,306,,,,,,,,,
2016,15,México,PRI,PRI,4,2,0.461,47.9,3.34,16187608,807,9071,331691,483,,,,,,,,,
2016,16,Michoacán de Ocampo,PRD,PRI,6,1,0.452,55.3,8.27,4584471,922,3617,52374,197,,,,,,,,,
2016,17,Morelos,PRD,PRI,6,1,0.467,49.5,4.96,1903811,417,1199,60233,57,,,,,,,,,
2016,18,Nayarit,PRI,PRI,4,0,0.471,37.5,5.04,1181050,54,2288,30693,0,,,,,,,,,
2016,19,Nuevo León,PRI,PRI,4,0,0.453,14.2,1.63,5119504,276,4981,275119,121,,,,,,,,,
2016,20,Oaxaca,PAN,PRI,5,1,0.513,70.4,13.53,3967889,298,2904,70932,121,,,,,,,,,
2016,21,Puebla,PAN,PRI,5,1,0.572,59.4,8.33,6168883,190,4588,104273,1533,,,,,,,,,
2016,22,Querétaro,PAN,PRI,5,0,0.488,31.1,4.54,2038372,21,3087,45468,164,,,,,,,,,
2016,23,Quintana Roo,PAN/PRD,PRI,5,0,0.494,28.8,3.87,1501562,54,2003,76400,0,,,,,,,,,
2016,24,San Luis Potosí,PRI,PRI,4,0,0.477,45.5,6.28,2717820,96,2410,59229,4,,,,,,,,,
2016,25,Sinaloa,PAN,PRI,5,0,0.486,30.8,4.16,2966321,613,5369,227625,119,,,,,,,,,
2016,26,Sonora,PRI,PRI,4,0,0.476,27.9,2.18,2850330,273,10141,522276,19,,,,,,,,,
2016,27,Tabasco,PRD,PRI,6,0,0.476,50.9,5.36,2395272,146,2187,29943,166,,,,,,,,,
2016,28,Tamaulipas,PRI,PRI,4,0,0.478,32.2,3.00,3441698,209,4670,0,942,,,,,,,,,
2016,29,Tlaxcala,PRI,PRI,4,0,0.411,53.9,3.95,1272847,20,978,21282,120,,,,,,,,,
2016,30,Veracruz de Ignacio de la Llave,PRI,PRI,4,0,0.49,62.2,9.44,8112505,802,4951,69060,668,,,,,,,,,
2016,31,Yucatán,PRI,PRI,4,0,0.511,41.9,7.41,2097175,12,1723,60914,0,,,,,,,,,
2016,32,Zacatecas,PRI,PRI,4,0,0.507,49.0,4.39,1579209,313,1265,58285,0,,,,,,,,,
2017,1,Aguascalientes,PAN,PRI,5,0,0.486,28.2,2.59,1312544,43,1685,82034,3,,,,,,,,,
2017,2,Baja California,PAN,PRI,5,0,0.434,22.2,1.95,3315766,393,13999,386140,154,,,,,,,,,
2017,3,Baja California Sur,PAN,PRI,5,0,0.454,22.1,2.49,712029,133,1966,27337,0,,,,,,,,,
2017,4,Campeche,PRI,PRI,4,0,0.5,43.8,6.65,899931,13,896,38142,0,,,,,,,,,
2017,5,Coahuila de Zaragoza,PRI,PRI,4,0,0.503,24.8,1.97,2954915,100,1937,17894,43,,,,,,,,,
2017,6,Colima,PRI,PRI,4,0,0.457,33.6,3.88,711235,385,1428,27599,0,,,,,,,,,
2017,7,Chiapas,PVEM,PRI,7,0,0.517,77.1,14.84,5217908,66,4322,79926,5,,,,,,,,,
2017,8,Chihuahua,PAN,PRI,5,0,0.458,30.6,2.65,3556574,937,2987,208339,85,,,,,,,,,
2017,9,Distrito Federal,PRD,PRI,6,0,0.507,27.6,1.48,8918653,253,21076,,91,,,,,,,,,
2017,10,Durango,PAN,PRI,5,0,0.446,36.0,3.15,1754754,103,1048,37867,9,,,,,,,,,
2017,11,Guanajuato,PAN,PRI,5,1,0.449,42.4,6.35,5853677,810,5985,164331,1852,,,,,,,,,
2017,12,Guerrero,PRI,PRI,4,3,0.489,64.4,13.61,3533251,"1,832",3069,26093,0,,,,,,,,,
2017,13,Hidalgo,PRI,PRI,4,0,0.504,50.6,8.20,2858359,25,3061,43737,1064,,,,,,,,,
2017,14,Jalisco,PRI,PRI,4,0,0.468,31.8,3.52,7844830,351,13071,195947,530,,,,,,,,,
2017,15,México,PRI,PRI,4,2,0.461,47.9,3.34,16187608,807,9071,331691,976,,,,,,,,,
2017,16,Michoacán de Ocampo,PRD,PRI,6,2,0.452,55.3,8.27,4584471,922,3617,52374,232,,,,,,,,,
2017,17,Morelos,PRD,PRI,6,0,0.467,49.5,4.96,1903811,417,1199,60233,378,,,,,,,,,
2017,18,Nayarit,PRI,PRI,4,0,0.471,37.5,5.04,1181050,54,2288,30693,0,,,,,,,,,
2017,19,Nuevo León,PRI,PRI,4,0,0.453,14.2,1.63,5119504,276,4981,275119,236,,,,,,,,,
2017,20,Oaxaca,PRI,PRI,4,3,0.513,70.4,13.53,3967889,298,2904,70932,69,,,,,,,,,
2017,21,Puebla,PAN,PRI,5,2,0.572,59.4,8.33,6168883,190,4588,104273,1443,,,,,,,,,
2017,22,Querétaro,PAN,PRI,5,0,0.488,31.1,4.54,2038372,21,3087,45468,304,,,,,,,,,
2017,23,Quintana Roo,PAN/PRD,PRI,6,0,0.494,28.8,3.87,1501562,54,2003,76400,0,,,,,,,,,
2017,24,San Luis Potosí,PRI,PRI,4,0,0.477,45.5,6.28,2717820,96,2410,59229,6,,,,,,,,,
2017,25,Sinaloa,PRI,PRI,4,0,0.486,30.8,4.16,2966321,613,5369,227625,384,,,,,,,,,
2017,26,Sonora,PRI,PRI,4,0,0.476,27.9,2.18,2850330,273,10141,522276,97,,,,,,,,,
2017,27,Tabasco,PRD,PRI,6,0,0.476,50.9,5.36,2395272,146,2187,29943,167,,,,,,,,,
2017,28,Tamaulipas,PAN,PRI,5,0,0.478,32.2,3.00,3441698,209,4670,0,1100,,,,,,,,,
2017,29,Tlaxcala,PRI,PRI,4,0,0.411,53.9,3.95,1272847,20,978,21282,122,,,,,,,,,
2017,30,Veracruz de Ignacio de la Llave,PRI,PRI,4,0,0.49,62.2,9.44,8112505,802,4951,69060,1012,,,,,,,,,
2017,31,Yucatán,PRI,PRI,4,0,0.511,41.9,7.41,2097175,12,1723,60914,0,,,,,,,,,
2017,32,Zacatecas,PRI,PRI,4,0,0.507,49.0,4.39,1579209,313,1265,58285,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,